<X> <Y>
3.217418150676372e-03 1.000314672451378e+12
3.239742629528196e-03 1.000171490620573e+12
3.262222009711670e-03 1.000026334683228e+12
3.284857366030043e-03 9.998791777006135e+11
3.307649780744242e-03 9.997299923742233e+11
3.330600343624588e-03 9.995787510411896e+11
3.353710152002929e-03 9.994254256696490e+11
3.376980310825091e-03 9.992699878540510e+11
3.400411932703706e-03 9.991124088104194e+11
3.424006137971426e-03 9.989526593715562e+11
3.447764054734464e-03 9.987907099821921e+11
3.471686818926559e-03 9.986265306940859e+11
3.495775574363275e-03 9.984600911610674e+11
3.520031472796679e-03 9.982913606340225e+11
3.544455673970436e-03 9.981203079558301e+11
3.569049345675230e-03 9.979469015562371e+11
3.593813663804626e-03 9.977711094466799e+11
3.618749812411280e-03 9.975928992150514e+11
3.643858983763544e-03 9.974122380204070e+11
3.669142378402494e-03 9.972290925876167e+11
3.694601205199302e-03 9.970434292019595e+11
3.720236681413066e-03 9.968552137036599e+11
3.746050032748993e-03 9.966644114823663e+11
3.772042493416998e-03 9.964709874715702e+11
3.798215306190736e-03 9.962749061429677e+11
3.824569722466999e-03 9.960761315007623e+11
3.851107002325569e-03 9.958746270759086e+11
3.877828414589457e-03 9.956703559202948e+11
3.904735236885560e-03 9.954632806008678e+11
3.931828755705771e-03 9.952533631936951e+11
3.959110266468458e-03 9.950405652779709e+11
3.986581073580439e-03 9.948248479299575e+11
4.014242490499322e-03 9.946061717168680e+11
4.042095839796306e-03 9.943844966906880e+11
4.070142453219439e-03 9.941597823819353e+11
4.098383671757262e-03 9.939319877933593e+11
4.126820845702952e-03 9.937010713935780e+11
4.155455334718876e-03 9.934669911106539e+11
4.184288507901581e-03 9.932297043256091e+11
4.213321743847289e-03 9.929891678658751e+11
4.242556430717777e-03 9.927453379986854e+11
4.271993966306777e-03 9.924981704244028e+11
4.301635758106795e-03 9.922476202697844e+11
4.331483223376399e-03 9.919936420811877e+11
4.361537789208006e-03 9.917361898177095e+11
4.391800892596086e-03 9.914752168442689e+11
4.422273980505897e-03 9.912106759246212e+11
4.452958509942656e-03 9.909425192143159e+11
4.483855948021186e-03 9.906706982535891e+11
4.514967772036102e-03 9.903951639601947e+11
4.546295469532400e-03 9.901158666221753e+11
4.577840538376616e-03 9.898327558905688e+11
4.609604486828434e-03 9.895457807720564e+11
4.641588833612777e-03 9.892548896215472e+11
4.673795107992464e-03 9.889600301347039e+11
4.706224849841282e-03 9.886611493404048e+11
4.738879609717651e-03 9.883581935931494e+11
4.771760948938746e-03 9.880511085654006e+11
4.804870439655129e-03 9.877398392398694e+11
4.838209664925958e-03 9.874243299017380e+11
4.871780218794631e-03 9.871045241308279e+11
4.905583706365045e-03 9.867803647937054e+11
4.939621743878321e-03 9.864517940357332e+11
4.973895958790063e-03 9.861187532730609e+11
5.008407989848212e-03 9.857811831845641e+11
5.043159487171359e-03 9.854390237037219e+11
5.078152112327670e-03 9.850922140104441e+11
5.113387538414326e-03 9.847406925228398e+11
5.148867450137492e-03 9.843843968889373e+11
5.184593543892913e-03 9.840232639783451e+11
5.220567527846975e-03 9.836572298738679e+11
5.256791122018419e-03 9.832862298630662e+11
5.293266058360562e-03 9.829101984297679e+11
5.329994080844088e-03 9.825290692455337e+11
5.366976945540477e-03 9.821427751610697e+11
5.404216420705915e-03 9.817512481975991e+11
5.441714286865887e-03 9.813544195381848e+11
5.479472336900287e-03 9.809522195190095e+11
5.517492376129128e-03 9.805445776206143e+11
5.555776222398878e-03 9.801314224590956e+11
5.594325706169377e-03 9.797126817772612e+11
5.633142670601352e-03 9.792882824357513e+11
5.672228971644543e-03 9.788581504041219e+11
5.711586478126435e-03 9.784222107518942e+11
5.751217071841614e-03 9.779803876395698e+11
5.791122647641758e-03 9.775326043096202e+11
5.831305113526219e-03 9.770787830774413e+11
5.871766390733255e-03 9.766188453222864e+11
5.912508413831881e-03 9.761527114781737e+11
5.953533130814370e-03 9.756803010247705e+11
5.994842503189409e-03 9.752015324782596e+11
6.036438506075864e-03 9.747163233821880e+11
6.078323128297230e-03 9.742245902983005e+11
6.120498372476703e-03 9.737262487973630e+11
6.162966255132942e-03 9.732212134499757e+11
6.205728806776500e-03 9.727093978173805e+11
6.248788072006888e-03 9.721907144422655e+11
6.292146109610344e-03 9.716650748395696e+11
6.335804992658254e-03 9.711323894872902e+11
6.379766808606282e-03 9.705925678172993e+11
6.424033659394191e-03 9.700455182061663e+11
6.468607661546328e-03 9.694911479659980e+11
6.513490946272803e-03 9.689293633352964e+11
6.558685659571436e-03 9.683600694698342e+11
6.604193962330305e-03 9.677831704335613e+11
6.650018030431118e-03 9.671985691895375e+11
6.696160054853222e-03 9.666061675908988e+11
