<X> <Y>
2.261280066337279e-03 2.519593660292653e+11
2.276970255381680e-03 2.519495959913842e+11
2.292769312865649e-03 2.519396902555107e+11
2.308677994187170e-03 2.519296469419044e+11
2.324697059985648e-03 2.519194641449260e+11
2.340827276178294e-03 2.519091399326847e+11
2.357069413996728e-03 2.518986723466805e+11
2.373424250023866e-03 2.518880594014415e+11
2.389892566231050e-03 2.518772990841573e+11
2.406475150015424e-03 2.518663893543069e+11
2.423172794237601e-03 2.518553281432811e+11
2.439986297259550e-03 2.518441133540014e+11
2.456916462982790e-03 2.518327428605321e+11
2.473964100886814e-03 2.518212145076888e+11
2.491130026067788e-03 2.518095261106408e+11
2.508415059277541e-03 2.517976754545081e+11
2.525820026962785e-03 2.517856602939543e+11
2.543345761304648e-03 2.517734783527725e+11
2.560993100258459e-03 2.517611273234668e+11
2.578762887593801e-03 2.517486048668281e+11
2.596655972934872e-03 2.517359086115040e+11
2.614673211801092e-03 2.517230361535634e+11
2.632815465648020e-03 2.517099850560552e+11
2.651083601908539e-03 2.516967528485612e+11
2.669478494034321e-03 2.516833370267430e+11
2.688001021537607e-03 2.516697350518833e+11
2.706652070033241e-03 2.516559443504210e+11
2.725432531281028e-03 2.516419623134799e+11
2.744343303228365e-03 2.516277862963921e+11
2.763385290053170e-03 2.516134136182140e+11
2.782559402207126e-03 2.515988415612368e+11
2.801866556459195e-03 2.515840673704906e+11
2.821307675939471e-03 2.515690882532418e+11
2.840883690183304e-03 2.515539013784836e+11
2.860595535175742e-03 2.515385038764206e+11
2.880444153396298e-03 2.515228928379465e+11
2.900430493863992e-03 2.515070653141143e+11
2.920555512182745e-03 2.514910183156012e+11
2.940820170587064e-03 2.514747488121645e+11
2.961225437988034e-03 2.514582537320920e+11
2.981772290019673e-03 2.514415299616453e+11
3.002461709085549e-03 2.514245743444947e+11
3.023294684405777e-03 2.514073836811481e+11
3.044272212064303e-03 2.513899547283716e+11
3.065395295056527e-03 2.513722841986035e+11
3.086664943337274e-03 2.513543687593600e+11
3.108082173869064e-03 2.513362050326339e+11
3.129648010670750e-03 2.513177895942848e+11
3.151363484866479e-03 2.512991189734226e+11
3.173229634734976e-03 2.512801896517821e+11
3.195247505759214e-03 2.512609980630901e+11
3.217418150676372e-03 2.512415405924247e+11
3.239742629528196e-03 2.512218135755653e+11
3.262222009711670e-03 2.512018132983362e+11
3.284857366030043e-03 2.511815359959400e+11
3.307649780744242e-03 2.511609778522835e+11
3.330600343624588e-03 2.511401349992952e+11
3.353710152002929e-03 2.511190035162337e+11
3.376980310825091e-03 2.510975794289874e+11
3.400411932703706e-03 2.510758587093660e+11
3.424006137971426e-03 2.510538372743821e+11
3.447764054734464e-03 2.510315109855246e+11
3.471686818926559e-03 2.510088756480226e+11
3.495775574363275e-03 2.509859270101002e+11
3.520031472796679e-03 2.509626607622217e+11
3.544455673970436e-03 2.509390725363282e+11
3.569049345675230e-03 2.509151579050636e+11
3.593813663804626e-03 2.508909123809915e+11
3.618749812411280e-03 2.508663314158026e+11
3.643858983763544e-03 2.508414103995122e+11
3.669142378402494e-03 2.508161446596472e+11
3.694601205199302e-03 2.507905294604236e+11
3.720236681413066e-03 2.507645600019139e+11
3.746050032748993e-03 2.507382314192042e+11
3.772042493416998e-03 2.507115387815406e+11
3.798215306190736e-03 2.506844770914655e+11
3.824569722466999e-03 2.506570412839433e+11
3.851107002325569e-03 2.506292262254755e+11
3.877828414589457e-03 2.506010267132049e+11
3.904735236885560e-03 2.505724374740087e+11
3.931828755705771e-03 2.505434531635813e+11
3.959110266468458e-03 2.505140683655050e+11
3.986581073580439e-03 2.504842775903107e+11
4.014242490499322e-03 2.504540752745262e+11
4.042095839796306e-03 2.504234557797139e+11
4.070142453219439e-03 2.503924133914964e+11
4.098383671757262e-03 2.503609423185706e+11
4.126820845702952e-03 2.503290366917106e+11
4.155455334718876e-03 2.502966905627577e+11
4.184288507901581e-03 2.502638979035995e+11
4.213321743847289e-03 2.502306526051362e+11
4.242556430717777e-03 2.501969484762352e+11
4.271993966306777e-03 2.501627792426729e+11
4.301635758106795e-03 2.501281385460649e+11
4.331483223376399e-03 2.500930199427825e+11
4.361537789208006e-03 2.500574169028578e+11
4.391800892596086e-03 2.500213228088755e+11
4.422273980505897e-03 2.499847309548520e+11
4.452958509942656e-03 2.499476345451009e+11
4.483855948021186e-03 2.499100266930869e+11
4.514967772036102e-03 2.498719004202651e+11
4.546295469532400e-03 2.498332486549080e+11
4.577840538376616e-03 2.497940642309185e+11
4.609604486828434e-03 2.497543398866300e+11
4.641588833612777e-03 2.497140682635924e+11
4.673795107992464e-03 2.496732419053449e+11
4.706224849841282e-03 2.496318532561746e+11
